ONCOTREE_CODE,CANCER_TYPE_DETAILED,Hugo_Symbol,n,n_mutated,n_biallelic,n_het,n_loh,n_wt,pval,CVR_TMB_SCORE_coeff,CVR_TMB_SCORE_pvalue,fga_coeff,fga_pvalue,PRIM_METPrimary_coeff,PRIM_METPrimary_pvalue,PRIM_METUnknown_coeff,PRIM_METUnknown_pvalue,has_lohTRUE_coeff,has_lohTRUE_pvalue,logistf_pval,logistf_selection_type,logistf_qval
all,all,SDHD,23604,3,0,3,7590,16011,0.555947887938278,0.0991546555844671,0.0319365481152604,-1.2829288730524,0.560444308650721,2.11971666113211,0.0972011653538436,2.8814034585453,0.208702253613806,-0.847337086011552,0.567819012724884,0.567819012724884,Negative-Sel,0.798436305437065
all,all,SDHAF2,23593,7,1,6,4575,19011,1,0.0686492978065881,0.114933368169631,3.19610835672858,0.0410028514314535,-0.639245351142674,0.467921207296918,2.07982106817279,0.069029513046679,-0.618636404918586,0.477243402080119,0.477243402080119,Negative-Sel,0.730234228256845
all,all,SDHB,23576,7,0,7,6959,16610,0.11319600540102,0.0754453128319521,0.0414744680434158,1.80150282961613,0.190825932818903,0.511829059682852,0.510545882119445,2.42918308305269,0.0439421698675253,-1.97808406094745,0.0733105009749742,0.0733105009749742,Negative-Sel,0.213994871019228
all,all,PMAIP1,23573,6,2,4,9401,14166,1,0.0638149480709334,0.245964378250851,-1.30767179644152,0.423525727191033,0.771626776231586,0.330811497218489,1.4014050772754,0.440264315451463,0.130386923818152,0.880726707064587,0.880726707064587,Negative-Sel,0.952610939576319
all,all,MLH1,23566,24,8,16,7235,16307,0.825585110382525,0.0665318278749717,0.0053871024684351,0.814186302156115,0.344843262160726,-0.407259919713379,0.382672392672258,0.87364449829493,0.364761473008421,0.0494213708621097,0.913490512624237,0.913490512624237,Negative-Sel,0.966789385956142
all,all,CHEK1,23560,11,0,11,7273,16276,0.022430867069798,0.059844624939517,0.133585262029462,0.526437603067659,0.639602611844144,-0.437561635957215,0.501355634040799,1.53222752289662,0.151149246432938,-2.48088877340053,0.0127882626821769,0.0127882626821769,Negative-Sel,0.0538636064059082
all,all,NPM1,23559,6,2,4,6026,17527,0.649695581204244,0.066926801884661,0.167604352499727,2.32589802213203,0.16533125360345,0.00150076623246029,0.998510316367454,1.0892868675115,0.526563163506973,-0.107584812943927,0.895920792827057,0.895920792827057,Negative-Sel,0.959031235415703
all,all,ERCC3,23557,16,1,15,4250,19291,0.334098470230476,0.0719665998031921,0.00709920999716984,-0.580097060950259,0.564746509603505,-0.103337460063802,0.843625025912153,0.139674107264548,0.925041940915601,-0.670544847006119,0.412811823411587,0.412811823411587,Negative-Sel,0.685073154483897
all,all,PIK3R3,23555,15,1,14,5643,17897,0.139904429481946,0.0637063685133312,0.0459122014728345,1.61210252726934,0.11273039840698,0.0497780421795906,0.929073207273194,1.47551850032998,0.16179342108979,-1.24669409961925,0.0935565512008489,0.0935565512008489,Negative-Sel,0.253076185621843
all,all,VHL,23554,312,297,15,6355,16887,7.7582361874317e-143,-0.0426166413674957,0.00823346115046841,-5.5440499445619,2.34972663658271e-68,0.180610850103279,0.148000468486937,0.0856105606328636,0.833921679342308,5.35205577863525,4.33064562734413e-73,4.33064562734413e-73,Positive-Sel,5.16346209414108e-71
all,all,MAX,23553,79,50,29,6991,16483,1.19517313512221e-09,0.0538671784351612,0.00239878499036539,-2.41490730880523,8.77620226602538e-07,0.136015967716812,0.567395747747925,0.283767150154731,0.678195762535157,1.92598692233366,1.09912079437891e-14,1.09912079437891e-14,Positive-Sel,2.88752073099543e-13
all,all,FANCC,23550,14,3,11,7759,15777,0.570238851107778,0.0377321236857743,0.561114079086606,1.96813590346226,0.0974992055901921,0.337343778927761,0.570471397800019,0.665225059009211,0.679803131117887,-0.54725302671603,0.393171738317153,0.393171738317153,Negative-Sel,0.667771442264488
all,all,RAD51D,23547,9,2,7,6279,17259,1,0.0814379264067187,0.0463678363379531,2.20214846118361,0.135590283104746,1.39864540287211,0.0595474265692255,1.70077565723664,0.365295547315333,-0.12272977529601,0.877634054113211,0.877634054113211,Negative-Sel,0.951281667045788
all,all,KLF4,23543,18,3,15,7539,15986,0.209868712316637,0.0506882970090964,0.169875618669376,-0.965061918515622,0.324078483206814,0.425749102755008,0.393721969922885,1.40780526170218,0.180259656202074,-0.50619841575494,0.404778875241311,0.404778875241311,Negative-Sel,0.678487774377004
all,all,SHQ1,23541,6,0,6,6914,16621,0.189670167103295,0.0496346908907233,0.522676365972697,1.43913815471281,0.329898937645747,0.389517572402222,0.617073824752662,1.15109813024747,0.509348875858095,-1.96864486238261,0.0855733793490385,0.0855733793490385,Negative-Sel,0.23685488926966
all,all,BMPR1A,23538,17,5,12,7930,15591,0.802655012085258,0.0586472537308083,0.0527009296550504,-0.784910965915985,0.422618133004865,-1.0904740609665,0.0522816689545677,-0.226681221837968,0.870672526513316,0.00291437251845863,0.99566311250209,0.99566311250209,Negative-Sel,1
all,all,EPCAM,23534,10,3,7,3751,19773,0.205047345141481,0.0627200787647844,0.166610858136676,0.742055930109873,0.552932125061755,1.21848387806972,0.0536249536160696,1.25035632742135,0.478538331095123,0.789334586743071,0.274662520547129,0.274662520547129,Negative-Sel,0.543358126673343
all,all,MUTYH,23534,17,2,15,5551,17966,0.391270055333469,0.080428294456427,0.000301489479309969,1.06407316182215,0.251252829527623,0.261421268974729,0.605169203142586,1.39567507005228,0.180818751329015,-0.749194995109786,0.241095826101164,0.241095826101164,Negative-Sel,0.500936367904564
all,all,RYBP,23532,13,4,9,6914,16605,1,0.0565093125015574,0.128924283589028,1.10263742307596,0.313387872496306,-0.293880250160812,0.60981837182498,0.251355925563766,0.867660884379727,-0.135473877595662,0.817887611795549,0.817887611795549,Negative-Sel,0.926687123080478
all,all,SUFU,23529,22,14,8,8004,15503,0.00565918278786666,0.0424881382418128,0.227274046386048,-2.13178802748865,0.0154991257885596,0.172115657303716,0.695969078136185,0.988765539019501,0.317930411240853,1.46480067242044,0.000929394299471364,0.000929394299471364,Positive-Sel,0.00587984148645149
all,all,FUBP1,23526,75,44,31,6123,17328,3.06556673662515e-09,0.0731965696734293,5.20451777819009e-06,-4.25489321110465,4.32986979603811e-15,1.25543799573984,1.9058396314442e-06,1.11694529011806,0.152687122320813,2.32610232516602,2.54571135956196e-19,2.54571135956196e-19,Positive-Sel,9.17640141237452e-18
