ONCOTREE_CODE,CANCER_TYPE_DETAILED,Hugo_Symbol,n,n_mutated,n_biallelic,n_het,n_loh,n_wt,pval,CVR_TMB_SCORE_coeff,CVR_TMB_SCORE_pvalue,fga_coeff,fga_pvalue,PRIM_METPrimary_coeff,PRIM_METPrimary_pvalue,PRIM_METUnknown_coeff,PRIM_METUnknown_pvalue,has_lohTRUE_coeff,has_lohTRUE_pvalue,logistf_pval,logistf_selection_type,logistf_qval
all,all,RAD51,23586,27,3,24,7541,16018,0.0214402802925175,0.086661853687177,1.28092269346958e-07,1.73047206508,0.0211997928022097,0.289433271455906,0.475792783318071,1.08208600777285,0.275527294942857,-1.46816549107796,0.00328636297238083,0.00328636297238083,Negative-Sel,0.077396633052935
all,all,SDHD,23570,23,5,18,7589,15958,0.373675530056817,0.0661376214531758,0.00729282802142706,1.39699087761993,0.0944581494193208,-0.0926597123057706,0.841845735509019,1.56611590404734,0.0584642683211133,-0.666328319304166,0.163106562656227,0.163106562656227,Negative-Sel,0.654871701041539
all,all,ERCC3,23569,75,6,69,4250,19244,0.022978319165934,0.0808776012772257,1.22180043859998e-12,1.39431724079552,0.00343493351359547,-0.0281589823785603,0.913930788281764,0.772709617085094,0.214385874807071,-1.03158250254754,0.00529817329587601,0.00529817329587601,Negative-Sel,0.100846736912599
all,all,TMEM127,23569,27,1,26,2688,20854,0.358073054667129,0.0709693172627932,0.00049042467453464,0.150769327384872,0.842417331432323,0.0961502755009984,0.811318066871463,-0.262290425027838,0.84941058514623,-0.841333298012498,0.268428228940028,0.268428228940028,Negative-Sel,0.777707720863222
all,all,MLH1,23565,76,16,60,7234,16255,0.0804953542860723,0.0763657217145107,1.8776424859368e-11,0.538995612826436,0.23958913661929,-0.314826862123908,0.207579476830803,0.150316779201008,0.821790561130574,-0.668884211625523,0.0155089451100956,0.0155089451100956,Negative-Sel,0.211701689588261
all,all,RAD50,23561,152,35,117,6541,16868,0.203913421168017,0.0854076505716899,5.12218684666465e-42,0.628477788861321,0.0656931626465855,0.0943174292195509,0.592352688047327,-0.290836540172032,0.637692420215517,-0.437412025849397,0.0298959141402055,0.0298959141402055,Negative-Sel,0.318675643209139
all,all,BARD1,23558,115,20,95,4951,18492,0.361189399902808,0.069587982333466,3.96150889869773e-11,1.10408988736546,0.00467873466883928,-0.0854089147899039,0.67552649631996,-1.70561537245077,0.0997640697701615,-0.438476877265507,0.0760263921194702,0.0760263921194702,Negative-Sel,0.497451092816764
all,all,CHEK1,23558,59,9,50,7274,16225,0.00728189550501836,0.0850580703728987,5.87108139882275e-12,1.51713846622604,0.00337143841103749,0.133709973892568,0.635730378919365,0.683485459027003,0.346417487772491,-1.12580487645008,0.000550008144597936,0.000550008144597936,Negative-Sel,0.0224775387329068
all,all,PMS1,23556,119,12,107,3779,19658,0.0795818357450955,0.0757010332090812,1.58761892521397e-14,1.2568196529053,0.00111731109221536,-0.167803505942281,0.418591281763145,-0.103602390280246,0.87077744159344,-0.702563639568184,0.0141805123751816,0.0141805123751816,Negative-Sel,0.198028361259445
all,all,CUL3,23553,178,41,137,4756,18619,0.400066488286194,0.0815282001262806,1.18179460735342e-39,0.402509275812036,0.207583920556797,0.129398994736951,0.430527061345293,0.145020505092494,0.771179765989942,0.135591507776851,0.484135000677622,0.484135000677622,Negative-Sel,0.873930591738383
all,all,KLF4,23553,86,19,67,7540,15927,0.049079606169594,0.080573860113268,1.55875312657372e-13,0.612644719195262,0.160896494172855,0.0293380531451998,0.900239633479255,0.549749461991107,0.362060044771346,-0.7084266096159,0.00634458416690031,0.00634458416690031,Negative-Sel,0.117543995998773
all,all,MYOD1,23553,101,19,82,6456,16996,0.0569828446260244,0.071938273639896,3.88892251734774e-11,0.912868465019285,0.029886537033764,-0.0663293509269628,0.766625990894698,0.430044934211756,0.465689887147445,-0.565116463987979,0.0274710307613987,0.0274710307613987,Negative-Sel,0.304151372453892
all,all,SDHB,23552,32,7,25,6960,16560,0.439113697433741,0.0722871567469894,0.000117042098840336,1.50744770024986,0.0348025144364575,0.0588775599653835,0.878719625048499,0.763249921788556,0.419720366521239,-0.377852565591632,0.360180449351418,0.360180449351418,Negative-Sel,0.833728638928885
all,all,HNF1A,23544,129,20,109,5839,17576,0.0138234643952237,0.0890693229278196,5.86845136896254e-42,1.13362295004919,0.00189077399066306,-0.174995982601798,0.371896016341815,-0.756038800148868,0.302285652140088,-0.84833338838645,0.000348534593029304,0.000348534593029304,Negative-Sel,0.0158701099816598
all,all,FANCC,23543,56,14,42,7761,15726,0.254726612134321,0.0671855243905794,1.1727050310939e-05,0.476756380251848,0.369975374787268,-0.0114833081754591,0.967935744645149,0.932489715138252,0.14433940681367,-0.553633717927933,0.0728868118713453,0.0728868118713453,Negative-Sel,0.486904928342472
all,all,SHQ1,23541,57,12,45,6914,16570,0.191130376447691,0.0872401863686888,1.61648472385423e-13,1.29285650683139,0.0149427715602679,0.0693425278926097,0.808066093814106,0.641511242490186,0.374342152847558,-0.670423162028757,0.0338371093467575,0.0338371093467575,Negative-Sel,0.333451513739855
all,all,NPM1,23538,38,4,34,6027,17473,0.0387469930686932,0.0675389114556831,0.000129006913995311,0.744812429439368,0.245814756967888,0.172713049117208,0.610733102483081,0.597649367169736,0.51699371884361,-1.22725758490243,0.00723646666755362,0.00723646666755362,Negative-Sel,0.128050495570846
all,all,SDHAF2,23532,12,0,12,4569,18951,0.139936950068645,0.0680057230826214,0.0637781018351347,0.546473022758317,0.625736151969076,1.27056046467069,0.0390527516929742,1.2548253857356,0.477478490152218,-1.78137418685401,0.112753106681361,0.112753106681361,Negative-Sel,0.574770385488894
all,all,BMPR1A,23526,53,21,32,7931,15542,0.3846466284906,0.0751720007288358,2.89099395534009e-08,0.317053653667531,0.568884745837516,-0.611702747629259,0.0498263965237946,-0.0486559426605931,0.953246459665868,0.241109958419416,0.407421006505818,0.407421006505818,Negative-Sel,0.84713790987018
all,all,PIK3R3,23522,40,5,35,5642,17840,0.0967638512354135,0.0784772140560839,1.33296471416244e-07,1.83621100612294,0.00344733851857482,-0.0362297356983775,0.913796382346882,-0.677997540383358,0.595598015014897,-0.919242515780494,0.0284630829009624,0.0284630829009624,Negative-Sel,0.3100735870928
all,all,PTCH1,23522,179,43,136,7674,15669,0.0129972245429615,0.084598382840577,7.16770622309388e-42,0.740233511611446,0.0172279864628559,-0.123093725419613,0.46187256980821,0.231896120791908,0.613779757204178,-0.636242103607377,0.000383959979662452,0.000383959979662452,Negative-Sel,0.0169369013251104
all,all,PHOX2B,23515,98,21,77,6068,17349,0.355948951722101,0.0790188871936029,5.32907051820075e-15,0.442975830292267,0.292471191847921,-0.095754540941844,0.669000368926697,0.417213068676943,0.479299022530074,-0.251884470158046,0.323689383109045,0.323689383109045,Negative-Sel,0.812586084607078
all,all,EPCAM,23514,44,2,42,3753,19717,0.0376353914936372,0.0753976585333515,1.34694601172658e-06,1.10752544144131,0.068050446928165,0.249091415427266,0.439141796765145,-0.609009451549113,0.638117084771175,-1.306148440729,0.0174610294479531,0.0174610294479531,Negative-Sel,0.22361382873669
all,all,SUFU,23514,50,16,34,8006,15458,0.881475373207034,0.0765867504044013,7.24045646771643e-08,1.94797920764328,0.000914439758552543,0.0565423427005956,0.85451109965757,0.320625346428612,0.715709564658033,-0.252199405687685,0.410304221417684,0.410304221417684,Negative-Sel,0.84713790987018
all,all,RYBP,23512,45,9,36,6915,16552,0.191691348822786,0.0662712062766308,9.05831476939456e-05,-0.580086206489112,0.345950621772331,-0.257387732452602,0.430205300773404,0.202344941080498,0.815693397662729,-0.351374350422576,0.348843434037114,0.348843434037114,Negative-Sel,0.823250887736684
