"ONCOTREE_CODE"	"organ"	"organ_order"	"CTD_ABBR"	"organ_color"	"Disease"	"CANCER_TYPE_DETAILED"	"n"
"1"	"ACC"	"Endocrine"	4	"Adrenocortical"	"#e4e07a"	"Adrenocortical Carcinoma"	"Adrenocortical Carcinoma"	63
"2"	"ACRM"	"Skin"	11	"Acral"	"#4EBE03"	"Acral Melanoma"	"Acral Melanoma"	64
"3"	"ACYC"	"Head and Neck"	3	"Adenoid Cystic"	"#049347"	"Adenoid Cystic Carcinoma"	"Adenoid Cystic Carcinoma"	125
"4"	"ANGS"	"Soft Tissue"	12	"Angiosarcoma"	"#00a89b"	"Angiosarcoma"	"Angiosarcoma"	60
"5"	"ANSC"	"Core GI"	7	"Anal Squam."	"#007EB5"	"Anal Squamous Cell Carcinoma"	"Anal Squamous Cell Carcinoma"	90
"6"	"ARMM"	"Core GI"	7	"Anorectal Mucosal Mel."	"#007EB5"	"Anorectal Mucosal Melanoma"	"Anorectal Mucosal Melanoma"	66
"7"	"ASTR"	"Brain"	1	"Astrocytoma"	"#C62D28"	"Astrocytoma"	"Astrocytoma"	254
"8"	"BLCA"	"Genitourinary"	9	"Bladder Urothelial"	"#f17d81"	"Bladder Urothelial Carcinoma"	"Bladder Urothelial Carcinoma"	873
"9"	"CCOV"	"Gynecologic"	10	"Clear Cell Ovarian"	"#f8b74a"	"Clear Cell Ovarian Cancer"	"Clear Cell Ovarian Cancer"	92
"10"	"CCRCC"	"Genitourinary"	9	"Renal Clear Cell"	"#f17d81"	"Renal Clear Cell Carcinoma"	"Renal Clear Cell Carcinoma"	398
"11"	"CESC"	"Gynecologic"	10	"Cervial Squamous"	"#f8b74a"	"Cervical Squamous Cell Carcinoma"	"Cervical Squamous Cell Carcinoma"	94
"12"	"CHDM"	"Soft Tissue"	12	"Chondroma"	"#00a89b"	"Chordoma"	"Chordoma"	43
"13"	"CHRCC"	"Genitourinary"	9	"Chromophobe Renal"	"#f17d81"	"Chromophobe Renal Cell Carcinoma"	"Chromophobe Renal Cell Carcinoma"	45
"14"	"CHS"	"Soft Tissue"	12	"Chondrosarcoma"	"#00a89b"	"Chondrosarcoma"	"Chondrosarcoma"	36
"15"	"COAD"	"Core GI"	7	"Colon"	"#007EB5"	"Colon Adenocarcinoma"	"Colon Adenocarcinoma"	2156
"16"	"CSCC"	"Skin"	11	"Cutaneous Squamous Cell"	"#4EBE03"	"Cutaneous Squamous Cell Carcinoma"	"Cutaneous Squamous Cell Carcinoma"	60
"17"	"DDLS"	"Soft Tissue"	12	"Dediff. Liposarcoma"	"#00a89b"	"Dedifferentiated Liposarcoma"	"Dedifferentiated Liposarcoma"	144
"18"	"DSRCT"	"Soft Tissue"	12	"Desmoplastic Small-Round"	"#00a89b"	"Desmoplastic Small-Round-Cell Tumor"	"Desmoplastic Small-Round-Cell Tumor"	64
"19"	"ECAD"	"Gynecologic"	10	"Endocervical Adeno."	"#f8b74a"	"Endocervical Adenocarcinoma"	"Endocervical Adenocarcinoma"	54
"20"	"EHCH"	"Developmental GI Tract"	8	"Extrahepatic Chol."	"#355A91"	"Extrahepatic Cholangiocarcinoma"	"Extrahepatic Cholangiocarcinoma"	48
"21"	"EOV"	"Gynecologic"	10	"Endometroid Ovarian"	"#f8b74a"	"Endometrioid Ovarian Cancer"	"Endometrioid Ovarian Cancer"	59
"22"	"ERMS"	"Soft Tissue"	12	"Embryonal Rhabdo."	"#00a89b"	"Embryonal Rhabdomyosarcoma"	"Embryonal Rhabdomyosarcoma"	52
"23"	"ES"	"Soft Tissue"	12	"Ewing"	"#00a89b"	"Ewing Sarcoma"	"Ewing Sarcoma"	90
"24"	"ESCA"	"Core GI"	7	"Esophageal Adeno."	"#007EB5"	"Esophageal Adenocarcinoma"	"Esophageal Adenocarcinoma"	273
"25"	"ESCC"	"Core GI"	7	"Esophageal Squam."	"#007EB5"	"Esophageal Squamous Cell Carcinoma"	"Esophageal Squamous Cell Carcinoma"	76
"26"	"GB"	"Brain"	1	"GB"	"#C62D28"	"Glioblastoma"	"Glioblastoma"	1087
"27"	"GBAD"	"Developmental GI Tract"	8	"Gallbladder Adeno."	"#355A91"	"Gallbladder Adenocarcinoma, NOS"	"Gallbladder Adenocarcinoma, NOS"	35
